Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
-und|na|kvk|Eintala||||-d|||finite sequence, \(n\)-tuple, pair, quadruple, quintuple, triple|tuple|||||||
-gildur|ls|kk|Eintala|||||||complex valued, real valued, scalar valued, vector valued|valued|||||||
\(A\)-stöðugleiki|na||Eintala||||||||\(A\)-stability|||||||
\(B\)-splæsifall|na||Eintala||||||||\(B\)-spline|||||||
\(\phi\)-fall Eulers|||Eintala||||||||Euler totient function||||Euler phi function, totient|||
\(K\)-fræði|||Eintala||||||||\(K\)-theory|||||||
\(n\)-und|na||Eintala||||\(n\)-d, röðuð \(n\)-und, röðuð \hbox{\(n\)-d}|||tuple|\(n\)-tuple||||ordered \(n\)-tuple|||
\(p\)-legur|ls||Eintala||||||||\(p\)-adic|||||||
\(p\)-leg heiltala|||Eintala||||heil \(p\)-leg tala||||\(p\)-adic integer|||||||
\(p\)-leg tala|||Eintala||||||||\(p\)-adic number|||||||
\(p\)-leg virðing|||Eintala||||||||\(p\)-adic valuation|||||||
\(t\)-dreifing|na||Eintala||||||||\(t\)-distribution|||||||
\(t\)-próf|na||Eintala||||||||\(t\)-test|||||||
Abel-|ls||Eintala||||abelskur||||abelian|||||||
Abel-deildi|sag||Eintala||||Abel-diffur||||abelian differential|||||||
Abel-deildi af fyrstu gerð|na|kvk|Eintala||||fágað deildi, Abel-diffur af fyrstu gerð, fágað diffur||||abelian differential of the first kind|||||||
Abel-útvíkkun|na|kvk|Eintala||||Abel-víkkun, abelsk útvíkkun||||abelian extension|||||||
Abel-grúpa|na|kvk|Eintala||||víxlgrúpa, abelsk grúpa, víxlin grúpa||||abelian group||||commutative group|||
Abel-víðátta|na|kvk|Eintala||||Abel-víðerni||||abelian variety|||||||
Agnesarhaddur|na|kk|Eintala||||||||Agnesi versiera||||versiera, witch of Agnesi|||
Aleksandrov-þjöppun|na|kvk|Eintala||||einspunktsþjöppun||||Alexandroff compactification||||one-point compactification|||
alsamleitnimark|na|hk|Eintala||||alsamleitniláhnit||||abscissa of absolute convergence|||||||
alsamfelldni|na||Eintala||||||||absolute continuity|||||||
alsamleitni|na|kvk|Eintala|||||||normal convergence|absolute convergence|||||||
algildisvægi|sag||Eintala||||alvægi||||absolute moment|||||||
algildi|na|hk|Eintala||||lengd, tölugildi|||modulus, valuation|absolute value||||numerical value|||
algildismerki|sag||Eintala||||tölugildismerki||||absolute value sign|||||||
alsamfelldur|ls|kk|Eintala||||||||absolutely continuous||||completely continuous|||
alsamleitinn|ls|kk|Eintala|||||||normally convergent|absolutely convergent|||||||
