Hugtök: is,Val: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Val: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
"Abel-deildi af fyrstu gerð, fágað deildi, Abel-diffur af fyrstu gerð, fágað diffur",0,na,hk,Eintala,,,,,,,,abelian differential of the first kind,0,,,,,,,,15
"Abel-deildi, Abel-diffur",0,na,hk,Eintala,,,,,,,,abelian differential,0,,,,,,,,16
"Abel-grúpa, víxlgrúpa, abelsk grúpa, víxlin grúpa",0,na,kvk,Eintala,,,,,,,,"abelian group, commutative group",0,,,,,,,,17
"Abel-útvíkkun, Abel-víkkun, abelsk útvíkkun",0,na,kvk,Eintala,,,,,,,,abelian extension,0,,,,,,,,18
"Abel-víðátta, Abel-víðerni",0,na,,Eintala,,,,,,,,abelian variety,0,,,,,,,,19
"Abel-, abelskur",0,,,Eintala,,,,,,,,abelian,0,,,,,,,,14
"aðalhornalína, meginhornalína",0,na,kvk,Eintala,,,,,,,,"leading diagonal, main diagonal, major diagonal, principal diagonal",0,,,,,,,,20
aðdráttarmengi,0,na,hk,Eintala,,,,,,,,attractor,0,,,,,,,,21
aðdráttarpunktur,0,na,kk,Eintala,,,,,,,,"attractor, point of attraction",0,,,,,,,,22
"aðfaldaður, hrópmerktur",0,ls,kk,Eintala,,,,,,,,factorial,0,,,,,,,,23
aðfeldaröð,0,na,kvk,Eintala,,,,,,,,factorial series,0,,,,,,,,24
aðfeldisfall,0,na,hk,Eintala,,,,,,,gamma function,"factorial function, factorial",0,,,,,,,,6539
"aðfeldi, hrópmerkt tala",0,na,hk,Eintala,,,,,,,factorial,"factorial number, factorial",0,,,,,,,,6540
aðfella,0,na,kvk,Eintala,,,,,,,,asymptote,0,,,,,,,,25
aðfelldur þríhyrningur,0,na,kk,Eintala,,,,,,,"doubly asymptotic triangle, trebly asymptotic triangle",asymptotic triangle,0,,,,,,,,28
"aðfelldur, aðfellu-",0,,,Eintala,,,,,,,,asymptotic,0,,,,,,,,29
aðfelld hálflína,0,na,kvk,Eintala,,,,,,,,asymptotic ray,0,,,,,,,,26
aðfelld samsíða lína,0,na,kvk,Eintala,,,,,,,,bounding parallel,0,,,,,,,,27
aðfelluhringur,0,na,kk,Eintala,,,,,,,,asymptotic circle,0,,,,,,,,31
aðfellujafn,0,ls,kk,Eintala,,,,,,,,asymptotically equal,0,,,,,,,,32
"aðfelluliðun, aðfelld liðun",0,na,kvk,Eintala,,,,,,,,asymptotic expansion,0,,,,,,,,33
aðfellunormlegur,0,ls,kk,Eintala,,,,,,,,asymptotically normal,0,,,,,,,,34
aðfelluréttur,0,na,kk,Eintala,,,,,,,,asymptotically unbiased,0,,,,,,,,35
