Hugtök: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
Abel-deildi af fyrstu gerð,na,hk,Eintala,,,,"fágað deildi, Abel-diffur af fyrstu gerð, fágað diffur",,,,abelian differential of the first kind,,,,,,,,15
Abel-deildi,na,hk,Eintala,,,,Abel-diffur,,,,abelian differential,,,,,,,,16
Abel-grúpa,na,kvk,Eintala,,,,"víxlgrúpa, abelsk grúpa, víxlin grúpa",,,,abelian group,,,,commutative group,,,,17
Abel-útvíkkun,na,kvk,Eintala,,,,"Abel-víkkun, abelsk útvíkkun",,,,abelian extension,,,,,,,,18
Abel-víðátta,na,,Eintala,,,,Abel-víðerni,,,,abelian variety,,,,,,,,19
Abel-,,,Eintala,,,,abelskur,,,,abelian,,,,,,,,14
aðalhornalína,na,kvk,Eintala,,,,meginhornalína,,,,leading diagonal,,,,"main diagonal, major diagonal, principal diagonal",,,,20
aðdráttarmengi,na,hk,Eintala,,,,,,,,attractor,,,,,,,,21
aðdráttarpunktur,na,kk,Eintala,,,,,,,,attractor,,,,point of attraction,,,,22
aðfaldaður,ls,kk,Eintala,,,,hrópmerktur,,,,factorial,,,,,,,,23
aðfeldaröð,na,kvk,Eintala,,,,,,,,factorial series,,,,,,,,24
aðfeldisfall,na,hk,Eintala,,,,,,,gamma function,factorial function,,,,factorial,,,,6539
aðfeldi,na,hk,Eintala,,,,hrópmerkt tala,,,factorial,factorial number,,,,factorial,,,,6540
aðfella,na,kvk,Eintala,,,,,,,,asymptote,,,,,,,,25
aðfelldur þríhyrningur,na,kk,Eintala,,,,,,,"doubly asymptotic triangle, trebly asymptotic triangle",asymptotic triangle,,,,,,,,28
aðfelldur,,,Eintala,,,,aðfellu-,,,,asymptotic,,,,,,,,29
aðfelld hálflína,na,kvk,Eintala,,,,,,,,asymptotic ray,,,,,,,,26
aðfelld samsíða lína,na,kvk,Eintala,,,,,,,,bounding parallel,,,,,,,,27
aðfelluhringur,na,kk,Eintala,,,,,,,,asymptotic circle,,,,,,,,31
aðfellujafn,ls,kk,Eintala,,,,,,,,asymptotically equal,,,,,,,,32
aðfelluliðun,na,kvk,Eintala,,,,aðfelld liðun,,,,asymptotic expansion,,,,,,,,33
aðfellunormlegur,ls,kk,Eintala,,,,,,,,asymptotically normal,,,,,,,,34
aðfelluréttur,na,kk,Eintala,,,,,,,,asymptotically unbiased,,,,,,,,35
aðfelluröð,na,kvk,Eintala,,,,,,,,asymptotic series,,,,,,,,36
aðfelluskilvirkni,na,kvk,Eintala,,,,,,,,asymptotic efficiency,,,,,,,,37
aðfelluskilvirkur,ls,kk,Eintala,,,,,,,,asymptotically efficient,,,,,,,,38
aðfellustefna,na,kvk,Eintala,,,,aðfelluátt,,,,asymptotic direction,,,,,,,,39
aðfellustöðugur,ls,kk,Eintala,,,,,,,,asymptotically stable,,,,,,,,40
aðfellu-,at,,,,,,,,,,asymptotically,,,,,,,,30
aðferð,na,kvk,Eintala,,,,,,,,method,,,,,,,,41
aðferð breytilegra stuðla,na,kvk,Eintala,,,,,,,,method of variation of constants,,,,method of variation of parameters,,,,42
aðferð minnstu ferninga,na,kvk,Eintala,,,,aðferð minnstu fervika,,,,least squares method,,,,method of least squares,,,,43
aðgengilegur jaðarpunktur,na,kk,Eintala,,,,,,,,accessible boundary point,,,,,,,,44
aðgerð,na,kvk,Eintala,,,,,,,"column operation, elementary operation, row operation",operation,,,,,,,,45
aðgerðagreining,na,kvk,Eintala,,,,,,,,operations research,,,,,,,,47
aðgerðartákn,na,hk,Eintala,,,,,,,,composition symbol,,,,,,,,48
aðgerðartákn,na,hk,Eintala,,,,,,,,operation symbol,,,,,,,,49
aðgerð,na,kvk,Eintala,<ref idTerm=3282>Vörpun</ref> af gerðinni \(X \times \cdots \times X \to X\) þar sem \(X\) er <ref idTerm=3270>mengi</ref> kallast \textit{reikniaðgerð} á \(X\).,,,reikniaðgerð,,,"binary operation, internal composition, internal operation",algebraic operation,,,,"law of composition, operation",,,,46
aðgreina,sag,,,,,,,,,separate,distinguish,,,,,,,,50
aðgreinandi,na,,Eintala,,,,"aðgreinir, aðskilja ({\it kvk.})",,,,discriminant,,,,,,,,6541
aðgreiningareiginleiki Hausdorffs,na,,Eintala,,,,"frumsenda Hausdorffs, frumsetning Hausdorffs",,,,Hausdorff separation axiom,,,,,,,,52
aðhlutur,na,kk,Eintala,,,,bakhlutur,,,counterdomain,(of a morphism) codomain,,,,"range, range carrier, target",,,,56
aðhvarf,na,hk,Eintala,,,,,,,,regression,,,,,,,,57
aðhvarfsfall,na,hk,Eintala,,,,,,,regression curve,regression function,,,,,,,,58
aðhvarfsferill,na,kk,Eintala,,,,,,,"regression function, regression line",regression curve,,,,,,,,59
aðhvarfsfrávik,na,,Eintala,,,,leif,,,,deviation from regression,,,,"remainder, residual",,,,60
aðhvarfsgreining,na,kvk,Eintala,,,,,,,,regression analysis,,,,,,,,61
aðhvarfsjafna,na,kvk,Eintala,,,,,,,,regression equation,,,,,,,,62
aðhvarfslína,na,kvk,Eintala,,,,,,,,line of regression,,,,regression line,,,,63
aðhvarfsstuðull,na,kk,Eintala,,,,,,,,regression coefficient,,,,,,,,64
aðhæft ítrekunarreiknirit,na,hk,Eintala,,,,,,,,adaptive iterative algorithm,,,,,,,,54
aðhæfur,ls,kk,Eintala,,,,,,,,adaptive,,,,,,,,55
aðhæf heildun,na,kvk,Eintala,,,,aðhæf tegrun,,,,adaptive quadrature,,,,,,,,53
aðlaga,sag,,,,,,,,,,fit,,,,,,,,70
aðlægur,ls,kk,Eintala,,,,,,,,adherent,,,,,,,,67
aðlægur punktur,na,kk,Eintala,,,,,,,,adherent point,,,,point of closure,,,,68
aðlægur,ls,kk,Eintala,,,,"samlægur, samliggjandi, grannstæður",,,,adjacent,,,,,,,,69
aðlæg hlið,na,kvk,Eintala,<ref idTerm=2048>Hlið</ref> <ref idTerm=3161>marghyrnings</ref> kallast \textit{aðlæg} tilteknu <ref idTerm=2198>horni</ref> hans ef hún liggur á <ref idTerm=334>armi</ref> þess. Jafnframt er sagt að tvær hliðar marghyrnings séu aðlægar hvor annarri ef þær deila endapunkti.,Almennt kallast tvær hliðar marghyrnings aðlægar ef þær <ref idTerm=4771>skerast</ref> í nákvæmlega einum <ref idTerm=4001>punkti</ref>. Tvær <ref idTerm=1325>hliðar</ref> <ref idTerm=3133>margflötungs</ref> (í þrem víddum) kallast sömuleiðis aðlægar ef þær skerast í einum eða fleiri punktum sem liggja allir á sömu <ref idTerm=2911>línu</ref>.,,,,,,adjacent side,,,,,,,,65
aðlæg horn,na,hk,Fleirtala,,,,"samlæg horn, samliggjandi horn",,,,adjacent angles,,,,,,,,66
aðlögun,na,kvk,Eintala,,,,,,,curve fitting,fitting,,,,,,,,71
aðlögunarpróf,na,hk,Eintala,,,,mátunarpróf,,,,goodness of fit test,,,,,,,,72
aðmengi,na,hk,Eintala,Sjá <ref idTerm=3282>vörpun</ref>.,,,"ítak, bakmengi",,,,(of a mapping) codomain,,,,"latent range, potential range, range, target, target set",,,,74
aðoka,ls,,Eintala,,,,,,,self-adjoint,(of an operator) adjoint,,,,,,,,75
