Hugtök: is,Val: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Val: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
"-und, -d",,na,kvk,Eintala,,,,,,,"finite sequence, \(n\)-tuple, pair, quadruple, quintuple, triple",tuple,,,,,,,,,1
\(\phi\)-fall Eulers,,na,hk,Eintala,,,,,,,,"Euler totient function, Euler phi function, totient",,,,,,,,,2
\(A\)-stöðugleiki,,na,kk,Eintala,,,,,,,,\(A\)-stability,,,,,,,,,3
\(B\)-splæsifall,,na,hk,Eintala,,,,,,,,\(B\)-spline,,,,,,,,,4
\(K\)-fræði,,na,kvk,Eintala,,,,,,,,\(K\)-theory,,,,,,,,,5
"\(n\)-und, \(n\)-d, röðuð \(n\)-und, röðuð \hbox{\(n\)-d}",,na,kvk,Eintala,,,,,,,tuple,"\(n\)-tuple, ordered \(n\)-tuple",,,,,,,,,6
"\(p\)-leg heiltala, heil \(p\)-leg tala",,na,kvk,Eintala,,,,,,,,\(p\)-adic integer,,,,,,,,,7
\(p\)-leg tala,,na,kvk,Eintala,,,,,,,,\(p\)-adic number,,,,,,,,,8
\(p\)-leg virðing,,na,kvk,Eintala,,,,,,,,\(p\)-adic valuation,,,,,,,,,9
\(p\)-legur,,ls,kk,Eintala,,,,,,,,\(p\)-adic,,,,,,,,,10
\(t\)-dreifing,,na,kvk,Eintala,,,,,,,,\(t\)-distribution,,,,,,,,,11
\(t\)-próf,,na,hk,Eintala,,,,,,,,\(t\)-test,,,,,,,,,12
á köflum,,,,,,,,,,,,piecewise,,,,,,,,,13
"Abel-, abelskur",,,,Eintala,,,,,,,,abelian,,,,,,,,,14
"Abel-deildi af fyrstu gerð, fágað deildi, Abel-diffur af fyrstu gerð, fágað diffur",,na,hk,Eintala,,,,,,,,abelian differential of the first kind,,,,,,,,,15
"Abel-deildi, Abel-diffur",,na,hk,Eintala,,,,,,,,abelian differential,,,,,,,,,16
"Abel-grúpa, víxlgrúpa, abelsk grúpa, víxlin grúpa",,na,kvk,Eintala,,,,,,,,"abelian group, commutative group",,,,,,,,,17
"Abel-útvíkkun, Abel-víkkun, abelsk útvíkkun",,na,kvk,Eintala,,,,,,,,abelian extension,,,,,,,,,18
"Abel-víðátta, Abel-víðerni",,na,,Eintala,,,,,,,,abelian variety,,,,,,,,,19
"aðalhornalína, meginhornalína",,na,kvk,Eintala,,,,,,,,"leading diagonal, main diagonal, major diagonal, principal diagonal",,,,,,,,,20
aðdráttarmengi,,na,hk,Eintala,,,,,,,,attractor,,,,,,,,,21
aðdráttarpunktur,,na,kk,Eintala,,,,,,,,"attractor, point of attraction",,,,,,,,,22
"aðfaldaður, hrópmerktur",,ls,kk,Eintala,,,,,,,,factorial,,,,,,,,,23
aðfeldaröð,,na,kvk,Eintala,,,,,,,,factorial series,,,,,,,,,24
aðfella,,na,kvk,Eintala,,,,,,,,asymptote,,,,,,,,,25
aðfelld hálflína,,na,kvk,Eintala,,,,,,,,asymptotic ray,,,,,,,,,26
aðfelld samsíða lína,,na,kvk,Eintala,,,,,,,,bounding parallel,,,,,,,,,27
aðfelldur þríhyrningur,,na,kk,Eintala,,,,,,,"doubly asymptotic triangle, trebly asymptotic triangle",asymptotic triangle,,,,,,,,,28
"aðfelldur, aðfellu-",,,,Eintala,,,,,,,,asymptotic,,,,,,,,,29
aðfellu-,,at,,,,,,,,,,asymptotically,,,,,,,,,30
